optimizer,lr,schedule,weight_decay,batch_size,grad_clip,epochs,train_loss,train_acc,test_loss,test_acc,gap_loss,gap_acc,pl,ge,steps
sgd,0.01,constant,0.0,32,0.0,60,0.08248643821571022,0.9716796875,0.06975046536535956,0.9716796875,-0.012735972850350663,0.0,18.55031989212148,0.03626232712752282,1920
sgd,0.01,constant,0.0,32,1.0,60,0.08746005044667982,0.96875,0.07577338055125438,0.9716796875,-0.011686669895425439,-0.0029296875,17.578231984050944,0.034588864023580454,1920
sgd,0.01,constant,0.0,128,0.0,60,0.10303280502557755,0.96484375,0.08533056639134884,0.974609375,-0.017702238634228706,-0.009765625,4.2838135827332735,0.0020923936249980335,480
sgd,0.01,constant,0.0,128,1.0,60,0.11053681839257479,0.96484375,0.09363263845443726,0.974609375,-0.01690417993813753,-0.009765625,4.171535822562873,0.0021203230441873572,480
sgd,0.01,constant,0.0001,32,0.0,60,0.08287951261445414,0.9716796875,0.07133229231112637,0.970703125,-0.011547220303327776,0.0009765625,19.579278237419203,0.03974454529127934,1920
sgd,0.01,constant,0.0001,32,1.0,60,0.08309327822644264,0.970703125,0.06907875387696549,0.97265625,-0.014014524349477142,-0.001953125,18.615243912907317,0.04063910248652601,1920
sgd,0.01,constant,0.0001,128,0.0,60,0.12455609440803528,0.9580078125,0.10721866693347692,0.9736328125,-0.017337427474558353,-0.015625,4.062373322900385,0.0020169484829872697,480
sgd,0.01,constant,0.0001,128,1.0,60,0.10205712914466858,0.9658203125,0.08442128961905837,0.9736328125,-0.01763583952561021,-0.0078125,4.200368471443653,0.0018918902349725484,480
sgd,0.01,constant,0.001,32,0.0,60,0.08460458926856518,0.9716796875,0.07077832741197199,0.9716796875,-0.013826261856593192,0.0,18.51250163873192,0.04061559036141015,1920
sgd,0.01,constant,0.001,32,1.0,60,0.08678735909052193,0.96875,0.07180796659667976,0.974609375,-0.01497939249384217,-0.005859375,17.763642251025885,0.035193285695839,1920
sgd,0.01,constant,0.001,128,0.0,60,0.1071197921410203,0.9658203125,0.08893286576494575,0.974609375,-0.018186926376074553,-0.0087890625,4.185532131930813,0.0019879529963287017,480
sgd,0.01,constant,0.001,128,1.0,60,0.12811171635985374,0.9560546875,0.10860067326575518,0.97265625,-0.019511043094098568,-0.0166015625,4.179555538576096,0.0024817270334590398,480
sgd,0.01,cosine,0.0,32,0.0,60,0.08735942927887663,0.96875,0.07144984617480077,0.9736328125,-0.015909583104075864,-0.0048828125,9.491827662802386,0.011564597377786126,1920
sgd,0.01,cosine,0.0,32,1.0,60,0.087337740464136,0.970703125,0.07256108007277362,0.9736328125,-0.014776660391362384,-0.0029296875,9.202766467404805,0.012448874295365824,1920
sgd,0.01,cosine,0.0,128,0.0,60,0.18697942420840263,0.927734375,0.16933081485331059,0.9443359375,-0.01764860935509205,-0.0166015625,2.7497108558229364,0.0009842034118528427,480
sgd,0.01,cosine,0.0,128,1.0,60,0.21246398985385895,0.9150390625,0.19713475555181503,0.9296875,-0.015329234302043915,-0.0146484375,2.600758389522916,0.0011201192853812936,480
sgd,0.01,cosine,0.0001,32,0.0,60,0.08715209833462723,0.970703125,0.07237028592498973,0.97265625,-0.014781812409637496,-0.001953125,9.928277955192579,0.013567175063637806,1920
sgd,0.01,cosine,0.0001,32,1.0,60,0.08623990253545344,0.9716796875,0.07146846893010661,0.9716796875,-0.014771433605346829,0.0,9.031652287411877,0.011008155238010313,1920
sgd,0.01,cosine,0.0001,128,0.0,60,0.1930387318134308,0.92578125,0.1761924922466278,0.9423828125,-0.01684623956680298,-0.0166015625,2.7188326680827615,0.001101285361949614,480
sgd,0.01,cosine,0.0001,128,1.0,60,0.1854582466185093,0.9287109375,0.1681176284328103,0.9482421875,-0.017340618185698986,-0.01953125,2.660599134650461,0.0012125610086127208,480
sgd,0.01,cosine,0.001,32,0.0,60,0.08964858599938452,0.970703125,0.07321915132342838,0.9736328125,-0.016429434675956145,-0.0029296875,8.70599627179425,0.011217430068038844,1920
sgd,0.01,cosine,0.001,32,1.0,60,0.08890624932246283,0.9716796875,0.07266247557708994,0.974609375,-0.01624377374537289,-0.0029296875,9.021562299086348,0.010015891339089745,1920
sgd,0.01,cosine,0.001,128,0.0,60,0.17638654448091984,0.9375,0.1606619507074356,0.9482421875,-0.01572459377348423,-0.0107421875,2.6697595618655683,0.0011461743008174393,480
sgd,0.01,cosine,0.001,128,1.0,60,0.2080242559313774,0.9130859375,0.19061505980789661,0.9365234375,-0.017409196123480797,-0.0234375,2.6377293241721738,0.0011967126170612087,480
