n_train,label_noise,input_noise_std,lambda,train_loss,train_acc,test_loss,test_acc,gap_loss,gap_acc,pl,ge,steps
128,0.0,0.0,0.0,0.2471187710762024,0.9140625,0.23379611410200596,0.89453125,-0.013322656974196434,0.01953125,2.8626120522385463,0.007024033160262704,80
128,0.0,0.0,0.2,0.25507697463035583,0.9140625,0.22620177641510963,0.8974609375,-0.0288751982152462,0.0166015625,2.3168992364135192,0.007599113465192784,80
128,0.0,0.2,0.0,0.25084125995635986,0.9140625,0.23031697608530521,0.8984375,-0.02052428387105465,0.015625,2.679426232311016,0.006566027703042683,80
128,0.0,0.2,0.2,0.28966906666755676,0.875,0.2545635662972927,0.8828125,-0.03510550037026405,-0.0078125,2.136121355125397,0.006875652650832519,80
128,0.1,0.0,0.0,0.4145428538322449,0.828125,0.2979654911905527,0.8662109375,-0.11657736264169216,-0.0380859375,1.9867718221748873,0.003866340982738944,80
128,0.1,0.0,0.2,0.4308585822582245,0.828125,0.30404095351696014,0.880859375,-0.12681762874126434,-0.052734375,1.6717627115062896,0.005454131246584153,80
128,0.1,0.2,0.0,0.4284396171569824,0.8203125,0.30291565880179405,0.8828125,-0.12552395835518837,-0.0625,2.190942784683102,0.004754769121403142,80
128,0.1,0.2,0.2,0.41812434792518616,0.828125,0.29603846557438374,0.89453125,-0.12208588235080242,-0.06640625,1.5587728152117961,0.0039160004536143095,80
128,0.2,0.0,0.0,0.5113695859909058,0.765625,0.3600448779761791,0.876953125,-0.15132470801472664,-0.111328125,1.646069807459753,0.00307387108780909,80
128,0.2,0.0,0.2,0.5153344869613647,0.7890625,0.3614696264266968,0.8779296875,-0.15386486053466797,-0.0888671875,1.4016691362849087,0.002666603742688071,80
128,0.2,0.2,0.0,0.5168935060501099,0.765625,0.3660212345421314,0.8759765625,-0.15087227150797844,-0.1103515625,1.6624129541378352,0.003483873799395106,80
128,0.2,0.2,0.2,0.5178949236869812,0.7734375,0.36980462446808815,0.8798828125,-0.14809029921889305,-0.1064453125,1.348673578013404,0.0029141971375875285,80
128,0.4,0.0,0.0,0.6526113748550415,0.6015625,0.5600443780422211,0.771484375,-0.09256699681282043,-0.169921875,0.9574883426371343,0.000983549762445326,80
128,0.4,0.0,0.2,0.6538520455360413,0.6015625,0.5605474784970284,0.78125,-0.09330456703901291,-0.1796875,0.7952030131855281,0.001431730875105273,80
128,0.4,0.2,0.0,0.6548842191696167,0.609375,0.5625749453902245,0.7890625,-0.09230927377939224,-0.1796875,0.9075018798798737,0.001083563096976287,80
128,0.4,0.2,0.2,0.655784010887146,0.6015625,0.5672729387879372,0.7802734375,-0.08851107209920883,-0.1787109375,0.651325787530368,0.0008309042196305672,80
256,0.0,0.0,0.0,0.11952091008424759,0.96875,0.19309684820473194,0.9296875,0.07357593812048435,0.0390625,4.201207377396713,0.012205170954609981,160
256,0.0,0.0,0.2,0.1402498483657837,0.9609375,0.22292733751237392,0.9150390625,0.08267748914659023,0.0458984375,3.3576750962829465,0.010835932392284598,160
256,0.0,0.2,0.0,0.12641818076372147,0.96484375,0.19134134612977505,0.92578125,0.06492316536605358,0.0390625,3.875808267820048,0.010534326634080505,160
256,0.0,0.2,0.2,0.16069797426462173,0.94140625,0.24345072358846664,0.8974609375,0.08275274932384491,0.0439453125,3.133754633087392,0.012647437784562203,160
256,0.1,0.0,0.0,0.3847164809703827,0.859375,0.25926320999860764,0.9228515625,-0.12545327097177505,-0.0634765625,3.2919598334533475,0.009075753636495711,160
256,0.1,0.0,0.2,0.4003906100988388,0.84765625,0.27842480316758156,0.912109375,-0.12196580693125725,-0.064453125,2.4021847904650713,0.008103795391395897,160
256,0.1,0.2,0.0,0.40407606959342957,0.8515625,0.2905561849474907,0.90625,-0.11351988464593887,-0.0546875,2.774813394951707,0.008357681622653492,160
256,0.1,0.2,0.2,0.4273075759410858,0.8359375,0.3188354969024658,0.8828125,-0.10847207903862,-0.046875,2.379905897913659,0.009633824588958744,160
256,0.2,0.0,0.0,0.5418313145637512,0.75390625,0.3849843554198742,0.880859375,-0.15684695914387703,-0.126953125,1.9885748521194273,0.007545716677332651,160
256,0.2,0.0,0.2,0.5398819744586945,0.7578125,0.379873089492321,0.880859375,-0.16000888496637344,-0.123046875,1.7878483579501108,0.00658820772043288,160
256,0.2,0.2,0.0,0.5350334644317627,0.76171875,0.3737541362643242,0.890625,-0.1612793281674385,-0.12890625,2.1108271653025668,0.00546949015943642,160
256,0.2,0.2,0.2,0.5416083335876465,0.765625,0.3870513252913952,0.8818359375,-0.1545570082962513,-0.1162109375,1.7798913194617398,0.007924791496982572,160
256,0.4,0.0,0.0,0.6527463793754578,0.609375,0.5793718099594116,0.78515625,-0.07337456941604614,-0.17578125,1.3045250728132487,0.0031349393504256024,160
256,0.4,0.0,0.2,0.6545553207397461,0.60546875,0.5815745145082474,0.7841796875,-0.07298080623149872,-0.1787109375,1.007837350212128,0.0024490224636542317,160
256,0.4,0.2,0.0,0.6542461514472961,0.609375,0.5795378908514977,0.7939453125,-0.07470826059579849,-0.1845703125,1.2028941748340003,0.002602187521406047,160
256,0.4,0.2,0.2,0.6583206057548523,0.6015625,0.5844194293022156,0.791015625,-0.07390117645263672,-0.189453125,0.9877519339076457,0.0035104062139679135,160
512,0.0,0.0,0.0,0.07013800740242004,0.974609375,0.07894490426406264,0.9677734375,0.008806896861642599,0.0068359375,6.122855746545838,0.017250273962242248,320
512,0.0,0.0,0.2,0.08320420607924461,0.970703125,0.0844687158241868,0.974609375,0.0012645097449421883,-0.00390625,5.248982872029018,0.01728799091638814,320
