feature,pearson,spearman
label_noise,-0.3344357017655518,-0.36691919168046144
n_train,-0.25967645340070006,-0.24814328839420896
ge,-0.16947936614804196,-0.18081501831501828
pl,0.015129809234569204,-0.09615384615384615
input_noise_std,0.02040768564193083,0.03214158524142052
lambda,0.011857853804656641,0.010149974286764375
