lambda,train_loss,train_acc,test_loss,test_acc,gap_loss,gap_acc,pl,ge,steps
0.0,0.08262476604431868,0.9716796875,0.06945522339083254,0.97265625,-0.013169542653486133,-0.0009765625,8.898628546253882,0.03501780114832222,640
0.05,0.08387014269828796,0.9716796875,0.0698296339251101,0.97265625,-0.014040508773177862,-0.0009765625,8.143894798968882,0.03271044428573219,640
0.1,0.08342983340844512,0.9716796875,0.06954367272555828,0.9716796875,-0.013886160682886839,0.0,8.049597887681099,0.03941176513289432,640
0.2,0.08609956735745072,0.9716796875,0.07067338284105062,0.97265625,-0.015426184516400099,-0.0009765625,6.906192269553196,0.0315005137645036,640
0.5,0.09108611801639199,0.970703125,0.0750109669752419,0.97265625,-0.016075151041150093,-0.001953125,5.957513370687733,0.03331316730630901,640
1.0,0.10908017493784428,0.9677734375,0.09103658935055137,0.9755859375,-0.01804358558729291,-0.0078125,4.542533171687199,0.033933847180389644,640
